batch_size,learning_rate,max_length,epochs,threshold,f1_micro,f1_macro,jaccard
16,3e-05,256,3,0.35,0.48102217211574594,0.4240531680181498,0.3268348199842862
16,3e-05,128,3,0.35,0.47443609022556393,0.4210712201891794,0.3232350192314605
16,3e-05,128,3,0.3,0.44168067226890756,0.3919378185047026,0.2951451672092241
16,3e-05,256,3,0.3,0.4380192755068129,0.38540095011259523,0.28872913365795927
16,2e-05,128,3,0.35,0.42334322453016815,0.3759393238055878,0.2772681944390129
16,2e-05,256,3,0.35,0.41832158872517616,0.37081250568129753,0.275312163123551
16,3e-05,128,3,0.25,0.4116743471582181,0.3635349976924836,0.2686459349270737
32,3e-05,128,3,0.35,0.4106750392464678,0.3654649170834322,0.2714513541025997
16,3e-05,256,3,0.25,0.4062219563266527,0.3581570621789585,0.2642287921647352
16,2e-05,128,3,0.3,0.4020100502512563,0.3556697412502357,0.2601117940975592
32,3e-05,256,3,0.35,0.4002393060125636,0.35565068898369023,0.25996279323681465
16,2e-05,256,3,0.3,0.384351798972016,0.3441237965487841,0.24323286440724165
32,3e-05,128,3,0.3,0.37345083998898376,0.33131375996948476,0.238343161385866
32,3e-05,256,3,0.3,0.37093690248565964,0.3371062888071752,0.2336540979779414
32,2e-05,128,3,0.35,0.3563249001331558,0.31776222911117025,0.22183938046927373
16,2e-05,128,3,0.25,0.35011618900077457,0.31502637490317187,0.21574655079993157
16,2e-05,256,3,0.25,0.345940494200706,0.3117029823327103,0.21281409377494787
32,2e-05,256,3,0.35,0.3396132870599901,0.3052142418595812,0.20722192990876268
32,3e-05,128,3,0.25,0.3327698623520889,0.29735564552763377,0.2022979689349796
32,3e-05,256,3,0.25,0.33125599232981784,0.2969458734067345,0.2009287075123374
32,2e-05,256,3,0.3,0.3238317757009346,0.2904920292386073,0.19738098990768027
32,2e-05,128,3,0.3,0.31603123564538355,0.28729198067595507,0.18962176613422163
32,2e-05,128,3,0.25,0.296217594560136,0.2730755765249132,0.1752605046199352
32,2e-05,256,3,0.25,0.2959660297239915,0.2711037330143089,0.17461121322331286
